Payment Refund ID,Payment ID,Refund Date,Refund Mode,Refund From Account,Amount (BCY),Reference Number,Exchange Rate,Created Time,Last Modified Time
4198696000015404045,4198696000015320327,10 Jan 2025,SINPE,4198696000000375167,"CRC 1,500.00",,CRC 1.00,2025-01-10 12:29:33,2025-01-10 12:29:33
4198696000015713975,4198696000015534857,15 Jan 2025,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2025-01-15 15:47:54,2025-01-15 15:47:54
4198696000015713995,4198696000015693527,15 Jan 2025,SINPE,4198696000000375167,"CRC 2,000.00",,CRC 1.00,2025-01-15 15:48:36,2025-01-15 15:48:36
4198696000015722015,4198696000015713035,15 Jan 2025,SINPE,4198696000000375167,"CRC 1,025.00",,CRC 1.00,2025-01-15 15:49:19,2025-01-15 15:49:19
4198696000015722035,4198696000015713527,15 Jan 2025,SINPE,4198696000000375167,"CRC 1,300.00",,CRC 1.00,2025-01-15 15:49:59,2025-01-15 15:49:59
4198696000015722055,4198696000015713634,15 Jan 2025,SINPE,4198696000000375167,"CRC 1,400.00",,CRC 1.00,2025-01-15 15:50:52,2025-01-15 15:50:52
4198696000016030448,4198696000016030384,20 Jan 2025,Efectivo/Cash,4198696000000418009,"CRC 4,400.00",,CRC 1.00,2025-01-20 10:33:24,2025-01-20 10:33:24
4198696000016159415,4198696000015092134,06 Jan 2025,Remesa bancaria - BNCR Colones,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2025-01-21 14:16:13,2025-01-21 14:16:29
4198696000016218097,4198696000016218057,22 Jan 2025,Efectivo/Cash,4198696000000418009,"CRC 1,000.00",,CRC 1.00,2025-01-22 10:01:36,2025-01-22 10:01:36
4198696000016615047,4198696000015404889,10 Jan 2025,Remesa bancaria - BNCR Colones,4198696000000375167,"CRC 26,400.00",,CRC 1.00,2025-01-27 12:44:43,2025-01-27 12:44:43
4198696000016630959,4198696000016630897,27 Jan 2025,Efectivo/Cash,4198696000000418009,"CRC 4,020.00",,CRC 1.00,2025-01-27 15:43:26,2025-01-27 15:43:26
4198696000016861094,4198696000016861054,17 Jan 2025,BNCR Colones,4198696000000375167,"CRC 56,000.00",,CRC 1.00,2025-01-29 17:28:13,2025-01-29 17:28:13
4198696000016953111,4198696000015230813,30 Jan 2025,SINPE,4198696000000375167,CRC 50.00,,CRC 1.00,2025-01-30 17:04:59,2025-01-30 17:04:59
4198696000017016185,4198696000017006070,31 Jan 2025,SINPE,4198696000000375167,"CRC 6,000.00",98203584,CRC 1.00,2025-01-31 17:32:01,2025-01-31 17:32:01
4198696000017574379,4198696000017520388,06 Feb 2025,SINPE,4198696000000375167,"CRC 4,000.00",,CRC 1.00,2025-02-06 13:40:50,2025-02-06 13:40:50
