Bill Credits ID,Date,Amount (BCY),Created Time,Amount (FCY),Last Modified Time
4198696000019165423,17 Feb 2025,"CRC 9,124.75",2025-03-06 12:03:47,"CRC 9,124.75",2025-03-06 12:03:47
4198696000019165619,24 Feb 2025,"CRC 4,779.90",2025-03-06 12:53:35,"CRC 4,779.90",2025-03-06 12:53:35
4198696000019165605,21 Feb 2025,"CRC 10,477.36",2025-03-06 12:52:11,"CRC 10,477.36",2025-03-06 12:52:11
4198696000019165507,24 Feb 2025,"CRC 74,518.53",2025-03-06 12:31:19,"CRC 74,518.53",2025-03-06 12:31:19
4198696000019165409,24 Feb 2025,"CRC 30,564.24",2025-03-06 11:55:06,"CRC 30,564.24",2025-03-06 11:55:06
4198696000019165451,27 Feb 2025,"CRC 1,282,898.04",2025-03-06 12:28:24,"CRC 1,282,898.04",2025-03-06 12:28:24
4198696000019165493,26 Feb 2025,"CRC 7,910.00",2025-03-06 12:30:32,"CRC 7,910.00",2025-03-06 12:30:32
4198696000019165381,27 Feb 2025,"CRC 31,696.50",2025-03-06 11:53:47,"CRC 31,696.50",2025-03-06 11:53:47
4198696000019165479,28 Feb 2025,"CRC 20,848.50",2025-03-06 12:29:51,"CRC 20,848.50",2025-03-06 12:29:51
4198696000019165465,01 Mar 2025,"CRC 17,967.00",2025-03-06 12:28:54,"CRC 17,967.00",2025-03-06 12:28:54
4198696000019165591,01 Mar 2025,"CRC 65,982.96",2025-03-06 12:48:34,"CRC 65,982.96",2025-03-06 12:48:34
4198696000019165395,06 Mar 2025,"CRC 2,785.45",2025-03-06 11:54:29,"CRC 2,785.45",2025-03-06 11:54:29
4198696000019165577,05 Mar 2025,"CRC 20,228.13",2025-03-06 12:46:30,"CRC 20,228.13",2025-03-06 12:46:30
4198696000019165563,05 Mar 2025,"CRC 29,267.00",2025-03-06 12:46:15,"CRC 29,267.00",2025-03-06 12:46:15
4198696000019165535,05 Mar 2025,"CRC 16,452.80",2025-03-06 12:42:50,"CRC 16,452.80",2025-03-06 12:42:50
4198696000019165521,05 Mar 2025,"CRC 40,545.37",2025-03-06 12:42:27,"CRC 40,545.37",2025-03-06 12:42:27
4198696000019239290,19 Feb 2025,"CRC 26,216.00",2025-03-07 13:43:38,"CRC 26,216.00",2025-03-07 13:43:38
4198696000019239276,24 Feb 2025,"CRC 5,333.60",2025-03-07 13:43:17,"CRC 5,333.60",2025-03-07 13:43:17
4198696000019239304,18 Feb 2025,"CRC 14,705.82",2025-03-07 13:55:31,"CRC 14,705.82",2025-03-07 13:55:31
4198696000019239262,26 Feb 2025,"CRC 8,021.08",2025-03-07 13:41:48,"CRC 8,021.08",2025-03-07 13:41:48
4198696000019239248,27 Feb 2025,"CRC 20,824.44",2025-03-07 13:41:33,"CRC 20,824.44",2025-03-07 13:41:33
4198696000019239220,06 Mar 2025,"CRC 15,594.00",2025-03-07 13:40:35,"CRC 15,594.00",2025-03-07 13:40:35
4198696000019239234,06 Mar 2025,"CRC 16,611.00",2025-03-07 13:40:47,"CRC 16,611.00",2025-03-07 13:40:47
4198696000019239096,04 Mar 2025,"CRC 24,016.50",2025-03-07 13:19:23,"CRC 24,016.50",2025-03-07 13:19:23
