Expense ID,Customer ID,Vendor ID,Expense Date,Is Billable,Total (BCY),Paid Through,Created Time,Status,Sub Total (BCY),Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Merchant ID,Merchant Name,User ID,Report ID,Report Number,Employee Paid Through,Currency Code,Exchange Rate,Last Modified Time
4198696000034328400,,4198696000000960013,21 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:29,Non-Billable,"CRC 5,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:29
4198696000034328652,,4198696000000960013,21 Oct 2025,No,"CRC 15,734.99",4198696000000298225,2025-11-07 14:16:31,Non-Billable,"CRC 13,924.77",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:31
4198696000033501033,,,21 Oct 2025,No,"CRC 16,288.00",4198696000000375167,2025-11-03 08:42:21,Non-Billable,"CRC 16,288.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-03 08:42:21
4198696000034277544,,,21 Oct 2025,No,"-CRC 84,278.96",4198696000000375171,2025-11-07 10:51:40,Non-Billable,"-CRC 84,278.96",0.00,,,,,NonMileage,,,,,,,USD,501.66,2025-11-07 10:51:40
4198696000033017797,,,20 Oct 2025,No,"CRC 7,281.75",4198696000000375179,2025-10-24 08:16:51,Non-Billable,"CRC 7,281.75",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-10-24 08:16:51
4198696000034330340,,4198696000000960013,20 Oct 2025,No,"CRC 2,500.00",4198696000000298225,2025-11-07 14:16:44,Non-Billable,"CRC 2,212.39",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:44
4198696000034327952,,4198696000000960013,20 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:26,Non-Billable,"CRC 5,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:26
4198696000034328596,,4198696000000960013,20 Oct 2025,No,"CRC 2,300.10",4198696000000298225,2025-11-07 14:16:31,Non-Billable,"CRC 2,035.49",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:31
4198696000034330396,,4198696000000960013,20 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:44,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:44
4198696000034330368,,4198696000000960013,20 Oct 2025,No,"CRC 2,200.01",4198696000000298225,2025-11-07 14:16:44,Non-Billable,"CRC 1,946.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:44
4198696000034328968,,4198696000000960013,20 Oct 2025,No,"CRC 1,000.00",4198696000000298225,2025-11-07 14:16:33,Non-Billable,"CRC 1,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:33
4198696000034330424,,4198696000000960013,20 Oct 2025,No,"CRC 2,200.01",4198696000000298225,2025-11-07 14:16:45,Non-Billable,"CRC 1,946.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:45
4198696000034327980,,4198696000000960013,20 Oct 2025,No,"CRC 8,000.00",4198696000000298225,2025-11-07 14:16:26,Non-Billable,"CRC 8,000.00",0.00,,,,24681.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:26
4198696000034330312,,4198696000000960013,18 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:44,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:44
4198696000034327252,,4198696000000960013,17 Oct 2025,No,"CRC 14,690.00",4198696000000298225,2025-11-07 14:16:20,Non-Billable,"CRC 13,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:20
4198696000034330284,,4198696000000960013,17 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:43,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:43
4198696000034330228,,4198696000000960013,17 Oct 2025,No,"CRC 3,000.00",4198696000000298225,2025-11-07 14:16:43,Non-Billable,"CRC 2,654.87",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:43
4198696000034330200,,4198696000000960013,17 Oct 2025,No,"CRC 3,000.00",4198696000000298225,2025-11-07 14:16:43,Non-Billable,"CRC 2,654.87",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:43
4198696000034330256,,4198696000000960013,17 Oct 2025,No,"CRC 4,000.20",4198696000000298225,2025-11-07 14:16:43,Non-Billable,"CRC 3,540.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:43
4198696000034327924,,4198696000000960013,17 Oct 2025,No,"CRC 15,000.00",4198696000000298225,2025-11-07 14:16:25,Non-Billable,"CRC 15,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:25
4198696000034328624,,4198696000000960013,16 Oct 2025,No,"CRC 9,990.00",4198696000000298225,2025-11-07 14:16:31,Non-Billable,"CRC 8,840.71",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:31
4198696000034327840,,4198696000000960013,16 Oct 2025,No,"CRC 8,000.00",4198696000000298225,2025-11-07 14:16:25,Non-Billable,"CRC 8,000.00",0.00,,,,39451.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:25
4198696000034327868,,4198696000000960013,16 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:25,Non-Billable,"CRC 5,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:25
4198696000034327448,,4198696000000960013,16 Oct 2025,No,"CRC 46,126.28",4198696000000298225,2025-11-07 14:16:22,Non-Billable,"CRC 46,126.28",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:22
4198696000034327896,,4198696000000960013,16 Oct 2025,No,"CRC 7,000.00",4198696000000298225,2025-11-07 14:16:25,Non-Billable,"CRC 7,000.00",0.00,,,,24447.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:25
4198696000034327420,,4198696000000960013,16 Oct 2025,No,"CRC 72,908.82",4198696000000298225,2025-11-07 14:16:21,Non-Billable,"CRC 64,521.08",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:21
4198696000034330172,,4198696000000960013,16 Oct 2025,No,"CRC 1,200.00",4198696000000298225,2025-11-07 14:16:43,Non-Billable,"CRC 1,061.95",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:43
4198696000033501468,,,16 Oct 2025,No,"CRC 934,978.98",4198696000000375167,2025-11-04 06:39:39,Non-Billable,"CRC 934,978.98",0.00,,,,,NonMileage,,,,,,,USD,507.00,2025-11-04 06:39:39
4198696000033479109,,,16 Oct 2025,No,"CRC 252,409.95",4198696000000375167,2025-11-02 08:53:34,Non-Billable,"CRC 252,409.95",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-02 08:53:34
4198696000033017921,,,16 Oct 2025,No,"CRC 14,000.00",4198696000000375167,2025-10-24 10:37:08,Non-Billable,"CRC 14,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-10-24 10:38:17
4198696000032914296,,,15 Oct 2025,No,"CRC 115,506.21",4198696000000375179,2025-10-21 15:38:35,Non-Billable,"CRC 115,506.21",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-10-21 15:48:02
4198696000032914190,,,15 Oct 2025,No,"CRC 9,357.39",4198696000000375179,2025-10-21 15:27:36,Non-Billable,"CRC 9,357.39",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-10-21 15:27:36
4198696000034328828,,4198696000000960013,15 Oct 2025,No,CRC 410.00,4198696000000298225,2025-11-07 14:16:32,Non-Billable,CRC 410.00,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:32
4198696000034330116,,4198696000000960013,15 Oct 2025,No,"CRC 1,800.00",4198696000000298225,2025-11-07 14:16:42,Non-Billable,"CRC 1,592.92",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:42
