Item_ID,inv.SKU,On_Hand_Qty
4198696000001407956,524-0553,0
4198696000001407992,524-0557,2
4198696000001408028,524-0561,0
4198696000001408064,524-0565,3
4198696000001408100,524-0569,2
4198696000001408136,524-0573,4
4198696000001408172,524-0577,1
4198696000001408208,524-0581,2
4198696000001408244,524-0585,1
4198696000001408280,524-0589,0
4198696000001408316,524-0593,2
4198696000001408352,524-0597,2
4198696000001402019,800-024,0
4198696000001441123,800-026,0
4198696000001464001,517-2000,1
4198696000001466068,800-036,0
4198696000001481113,509-0202,5
4198696000001481293,522-0504,2
4198696000001481685,509-2036,1
4198696000001522209,522-0188,0
4198696000001610054,519-0011,2
4198696000001610090,519-0038,4
4198696000001610126,519-0045,2
4198696000001610162,519-0044,4
4198696000001610198,519-0023,1
4198696000001610234,519-0021,4
4198696000001610270,519-0043,2
4198696000001610306,519-0001,6
4198696000001610342,519-0017,2
4198696000001610378,519-0009,2
4198696000001610414,519-0029,4
4198696000001610450,519-0049,13
4198696000001610486,520-0046,4
4198696000001610522,520-0025,2
4198696000001610558,520-0132,3
4198696000001610594,520-0023,4
4198696000001610630,520-0110,5
4198696000001610666,520-0113,3
4198696000001610702,520-0017,4
4198696000001610738,520-0016,5
4198696000001610774,520-0010,4
4198696000001610810,520-0028,4
4198696000001610846,520-0053,1
4198696000001610882,520-0043,4
4198696000001610918,520-0045,4
4198696000001610954,520-0035,6
4198696000001610990,520-0056,2
4198696000001611026,520-0077,4
4198696000001611062,520-0071,4
4198696000001611098,520-0061,4
4198696000001611134,520-0076,4
4198696000001611170,520-0079,2
4198696000001611206,520-0081,4
4198696000001611242,520-0089,3
4198696000001611278,520-0005,4
4198696000001611314,520-0119,4
4198696000001611350,520-0099,4
4198696000001611386,520-0140,6
4198696000001611422,520-0111,4
4198696000001611458,520-0114,4
4198696000001611494,520-0124,4
4198696000001611530,520-0128,3
4198696000001611566,520-0122,4
4198696000001611602,520-0092,3
4198696000001611638,520-0126,4
4198696000001611674,520-0049,4
4198696000001611710,520-0034,4
4198696000001611746,528-0071,2
4198696000001611782,528-0074,3
4198696000001611818,528-0052,2
4198696000001611854,528-0065,2
4198696000001611890,528-0060,2
4198696000001611926,528-0038,6
4198696000001611962,528-0009,1
4198696000001611998,528-0018,2
4198696000001612034,528-0066,2
4198696000001612070,528-0039,2
4198696000001612106,528-0007,2
4198696000001612142,528-0049,0
4198696000001612178,518-0500,3
4198696000001612214,528-0054,2
4198696000001612250,528-0051,2
4198696000001612286,518-0522,1
4198696000001612322,518-0501,2
4198696000001612358,518-0529,2
4198696000001612394,518-0531,1
4198696000001612430,518-0535,2
4198696000001612466,518-0538,2
4198696000001612502,518-0610,4
4198696000001612538,518-0544,2
4198696000001612574,518-0548,2
4198696000001612610,518-0552,2
4198696000001612646,518-0555,2
4198696000001612682,518-0560,1
4198696000001612718,518-0506,2
4198696000001612754,518-0567,2
4198696000001612790,518-0570,2
4198696000001612826,518-0574,1
4198696000001612862,518-0578,1
4198696000001612898,518-0582,3
4198696000001612934,518-0587,2
4198696000001612970,528-0047,2
4198696000001613006,528-0021,2
4198696000001613042,528-0011,2
4198696000001613078,528-0061,5
4198696000001613114,528-0024,6
4198696000001613150,528-0017,3
4198696000001613186,518-0558,2
4198696000001613222,528-0078,0
4198696000001613258,528-0082,0
4198696000001613294,518-0598,1
4198696000001613330,521-0004,4
4198696000001613366,521-0024,2
4198696000001613402,521-0038,1
4198696000001613438,521-0020,0
4198696000001613474,521-0042,2
4198696000001613510,521-0002,1
4198696000001613546,521-0016,1
4198696000001613582,521-0028,1
4198696000001613618,521-0033,1
4198696000001613654,521-0003,2
4198696000001613690,521-0026,2
4198696000001613726,522-0032,0
4198696000001613762,522-0116,2
4198696000001613798,522-0007,1
4198696000001613834,522-0129,2
4198696000001613870,522-0002,1
4198696000001613906,522-0005,1
4198696000001613942,522-0155,0
4198696000001613978,522-0119,1
4198696000001614014,522-0064,0
4198696000001614050,522-0049,0
4198696000001614086,522-0137,2
4198696000001614122,522-0044,1
4198696000001614158,522-0149,1
4198696000001614194,522-0180,1
4198696000001614230,522-0174,2
