Item_ID,SKU,Sales_24M_Qty,Sales_24M_Net
4198696000021831207,72-3177,2,19504
4198696000021802445,800-3095,1,9000
4198696000021802116,800-3091,3,79192.74
4198696000021746120,72-3175,2,12400
4198696000021527807,800-3083,2,46000
4198696000021527123,106-3007,4,21451.33
4198696000021527114,106-3006,7,123392.93
4198696000021527096,106-3004,8,155382.02
4198696000021527087,106-3003,9,75650
4198696000021527078,106-3002,6,162714.35
4198696000021524180,106-3001,13,71760
4198696000021524133,106-3000,8,152733.76
4198696000021434220,800-3080,3,285988
4198696000021432859,800-3078,1,16100
4198696000021432233,800-3074,2,89792
4198696000021426934,800-3072,1,32000
4198696000021426061,800-3068,2,24384
4198696000021413001,800-3065,1,71600
4198696000021263678,72-3172,2,11520
4198696000021263651,72-3171,3,17520
4198696000021261036,800-3060,2,1600
4198696000021247550,512-1031,2,29133.88
4198696000021205695,528-0113,6,6206.55
4198696000021205686,528-0112,18,32400
4198696000021205545,528-0105,92,82343.54
4198696000021205109,72-3170,4,17160
4198696000021192099,534-0093,4,23200
4198696000021143361,376-3075,2,4303
4198696000021134315,44-1155,4,6400
4198696000021134081,800-3051,1,50000
4198696000021110643,800-3048,2,58000
4198696000021076271,533-152,2,87385.7
4198696000021065175,800-3044,1,15300
4198696000021065026,509-1073,2,40000
4198696000020988204,520-0175,3,53700
4198696000020914386,800-3040,2,27416
4198696000020908000,533-156,4,142612
4198696000020907952,533-154,7,258112
4198696000020907800,800-3034,2,46080
4198696000020907610,72-3168,6,33866
4198696000020901043,519-2005,1,14000
4198696000020885436,72-3164,2,9016
4198696000020837908,800-3024,8,89056
4198696000020837180,509-0245,1,6900
4198696000020824636,533-144,9,317606.43
4198696000020824597,533-143,9,317606.43
4198696000020811795,528-0088,26,43218.41
4198696000020811181,72-3107,6,50616.07
4198696000020765486,800-3015,1,13800
4198696000020701897,800-3012,1,14650
4198696000020666420,522-0216,4,73200
4198696000020666124,522-0209,1,30820
4198696000020642545,800-3005,1,26680
4198696000020636506,520-0172,6,122262
4198696000020632428,534-0091,2,11040
4198696000020621611,800-2998,1,22356
4198696000020619397,800-2995,1,29000
4198696000020611481,72-3087,4,23400
4198696000020578236,800-2990,1,33600
4198696000020471048,800-2986,2,13984
4198696000020466449,800-2983,2,9568
4198696000020459908,800-2980,2,2246
4198696000020447846,800-2978,2,51000
4198696000020447084,800-2975,1,14500
4198696000020441441,800-2972,1,24500
4198696000020436320,517-1143,2,52000
4198696000020433762,510-1077,4,391280
4198696000020433088,800-2964,4,28224
4198696000020426900,530-2017,2,10367.26
4198696000020424657,800-2961,2,11040
4198696000020424313,800-2958,1,5200
4198696000020419532,800-2955,2,14200
4198696000020419186,800-2953,2,28152
4198696000020417979,800-2950,1,10000
4198696000020417673,343-34,2,3500
4198696000020417651,343-32,3,5398
4198696000020417640,343-31,5,8495.57
4198696000020417629,343-30,16,30015.76
4198696000020417520,343-27,10,18176.55
4198696000020417484,343-25,9,16177
4198696000020372528,800-2947,2,10120
4198696000020372087,800-2944,1,9384
4198696000020371262,800-2942,1,24012
4198696000020315419,800-2938,1,31500
4198696000020314354,800-2935,1,5244
4198696000020304474,512-1030,1,33212
4198696000020251255,800-2929,2,11700
4198696000020248158,800-2926,4,15600
4198696000020244229,517-1138,2,70000
4198696000020231968,528-0103,109,118602.9
4198696000020231713,517-1137,2,72752.21
4198696000020183265,800-2923,2,40000
4198696000020178738,800-2919,1,10700
4198696000020118540,800-2915,1,46000
4198696000020112450,800-2911,1,0
4198696000020105169,800-2907,2,58400
