Creditnotes refund ID,Refund Date,Account ID,Amount (BCY),Created Time,Last Modified Time
4198696000014535371,23 Dec 2024,4198696000000418009,"CRC 14,300.00",2024-12-23 15:20:56,2024-12-23 15:20:56
4198696000014598064,24 Dec 2024,4198696000000418009,"CRC 3,900.00",2024-12-24 12:13:54,2024-12-24 12:13:54
4198696000014724744,27 Dec 2024,4198696000000418009,"CRC 74,336.00",2024-12-27 12:49:55,2024-12-27 12:49:55
4198696000014786493,28 Dec 2024,4198696000000418009,CRC 700.00,2024-12-28 12:35:26,2024-12-28 12:35:26
4198696000014786563,28 Dec 2024,4198696000000418009,"CRC 7,900.00",2024-12-28 12:43:12,2024-12-28 12:43:12
4198696000014823957,31 Dec 2024,4198696000000418009,"CRC 8,596.00",2024-12-31 13:50:22,2024-12-31 13:50:22
4198696000014895013,02 Jan 2025,4198696000000418009,"CRC 3,300.00",2025-01-02 13:24:40,2025-01-02 13:24:40
4198696000015082155,06 Jan 2025,4198696000000418009,"CRC 18,200.00",2025-01-06 12:05:56,2025-01-06 12:05:56
4198696000015230947,08 Jan 2025,4198696000000418009,"CRC 42,400.00",2025-01-08 14:46:44,2025-01-08 14:46:44
4198696000015257109,08 Jan 2025,4198696000000375167,"CRC 71,700.00",2025-01-08 15:14:26,2025-01-08 15:14:26
4198696000015257165,08 Jan 2025,4198696000000418009,"CRC 32,300.00",2025-01-08 15:30:04,2025-01-08 15:30:04
4198696000015293105,09 Jan 2025,4198696000000418009,"CRC 6,800.00",2025-01-09 10:04:46,2025-01-09 10:04:46
4198696000015293131,09 Jan 2025,4198696000000418009,"CRC 1,400.00",2025-01-09 10:06:14,2025-01-09 10:06:14
4198696000015355910,10 Jan 2025,4198696000000418009,"CRC 14,800.00",2025-01-10 11:42:04,2025-01-10 11:42:04
4198696000015355984,10 Jan 2025,4198696000000418009,CRC 800.00,2025-01-10 11:59:40,2025-01-10 11:59:40
4198696000015404003,10 Jan 2025,4198696000000375167,"CRC 2,700.00",2025-01-10 12:28:22,2025-01-10 12:28:22
4198696000015404507,10 Jan 2025,4198696000000375167,"CRC 26,000.00",2025-01-10 14:43:43,2025-01-10 14:43:43
4198696000015713125,15 Jan 2025,4198696000000418009,"CRC 4,600.00",2025-01-15 12:30:23,2025-01-15 12:30:23
4198696000015828127,16 Jan 2025,4198696000000418009,"CRC 30,600.00",2025-01-16 13:58:48,2025-01-16 13:58:48
4198696000015828618,16 Jan 2025,4198696000000418009,"CRC 12,100.00",2025-01-16 16:03:24,2025-01-16 16:03:24
4198696000016030815,20 Jan 2025,4198696000000375167,"CRC 58,800.00",2025-01-20 12:11:15,2025-01-20 12:11:15
4198696000016204629,21 Jan 2025,4198696000000375167,"CRC 132,000.00",2025-01-21 15:52:38,2025-01-21 15:52:38
4198696000016371157,23 Jan 2025,4198696000000375167,"CRC 405,800.00",2025-01-23 16:55:50,2025-01-23 16:55:50
4198696000016470144,24 Jan 2025,4198696000000418009,"CRC 26,800.00",2025-01-24 14:28:04,2025-01-24 14:28:04
4198696000016820133,29 Jan 2025,4198696000000418009,"CRC 8,000.00",2025-01-29 11:09:54,2025-01-29 11:09:54
4198696000016820291,29 Jan 2025,4198696000000375167,"CRC 13,400.00",2025-01-29 11:47:41,2025-01-29 11:47:41
4198696000016953080,30 Jan 2025,4198696000000375167,"CRC 91,600.00",2025-01-30 17:04:16,2025-01-30 17:04:16
4198696000017016126,31 Jan 2025,4198696000000418009,CRC 600.00,2025-01-31 17:19:45,2025-01-31 17:19:45
4198696000017086199,03 Feb 2025,4198696000000000361,"CRC 33,200.00",2025-02-03 15:37:12,2025-02-03 15:37:12
4198696000017086345,03 Feb 2025,4198696000000000361,"CRC 14,000.00",2025-02-03 16:36:18,2025-02-03 16:36:18
4198696000017209371,04 Feb 2025,4198696000000418009,"CRC 1,500.00",2025-02-04 13:10:39,2025-02-04 13:10:39
4198696000017431042,05 Feb 2025,4198696000000418009,"CRC 11,000.00",2025-02-05 14:13:32,2025-02-05 14:13:32
4198696000017476625,05 Feb 2025,4198696000000418009,CRC 300.00,2025-02-05 16:51:54,2025-02-05 16:51:54
4198696000017520253,06 Feb 2025,4198696000000418009,"CRC 14,200.00",2025-02-06 09:54:05,2025-02-06 09:54:05
4198696000017625402,06 Feb 2025,4198696000000418009,"CRC 9,524.00",2025-02-06 16:11:39,2025-02-06 16:11:39
4198696000017625625,06 Feb 2025,4198696000000418009,"CRC 7,400.00",2025-02-06 16:35:33,2025-02-06 16:35:33
4198696000017636440,07 Feb 2025,4198696000000418009,"CRC 37,000.00",2025-02-07 11:58:17,2025-02-07 11:58:17
4198696000017800955,11 Feb 2025,4198696000000375167,"CRC 137,400.00",2025-02-11 13:29:19,2025-02-11 13:29:19
4198696000017988183,12 Feb 2025,4198696000000418009,"CRC 1,104.00",2025-02-12 14:24:02,2025-02-12 14:24:02
4198696000018063487,13 Feb 2025,4198696000000418009,"CRC 20,516.00",2025-02-13 14:01:38,2025-02-13 14:01:38
4198696000018064190,24 Jan 2025,4198696000000375167,"CRC 121,440.00",2025-02-13 14:09:32,2025-02-13 14:09:32
4198696000018189013,15 Feb 2025,4198696000000418009,"CRC 19,500.00",2025-02-17 08:49:22,2025-02-17 08:49:22
4198696000018120350,11 Feb 2025,4198696000000375167,"CRC 45,080.00",2025-02-17 17:51:28,2025-02-17 17:51:28
4198696000018209128,18 Feb 2025,4198696000000000361,"CRC 13,100.00",2025-02-18 16:08:17,2025-02-18 16:08:17
