SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_Used,Avg_Demand_6M,Outstanding_Qty,Last_Purchase_Date,Last_Purchase_Price,On_Hand_Qty,On_Hand_Source,Coverage_Months,On_Hand_Value_LastCost,Reorder_Eligibility,Reorder_Flag,Stock_Shortfall,Months_Short
,4198696000025832008,1,6838.94,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000023770383,1,12035.4,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000015640512,1,13274.34,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014389195,1,7168.14,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000010637578,1,16814.16,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000030693071,1,32176.99,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024826449,1,14575.22,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000008276412,1,13539.82,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024550022,2,30265.49,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000011207832,1,4778.76,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018475123,1,3716.81,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000031585534,1,410853.98,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011274249,2,55221.24,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000018787757,1,9734.51,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000016983262,2,46017.7,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000006788295,1,15469.03,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024388022,1,7246.02,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000004487131,1,67522.12,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000002717238,1,18407.08,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000030366686,1,23097.35,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000007870388,1,37699.12,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000016634151,4,1238.94,4,,,,,,,,,ELIGIBLE,1,4,1
,4198696000026028368,1,4070.8,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000020048079,2,51047.79,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000019063792,1,16771.68,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000013373089,4,25840.71,4,,,,,,,,,ELIGIBLE,1,4,1
,4198696000002655109,1,1858.41,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000029803070,1,4287.62,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025001779,1,26991.15,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011850962,6,16460.18,6,,,,,,,,,ELIGIBLE,1,6,1
