b.Product_ID,i.InQty,o.OutQty,On_Hand_Qty
4198696000001040086,40,,40
4198696000001040752,4,,4
4198696000001089127,98,,98
4198696000001096610,3,,3
4198696000001108001,1,,1
4198696000001407578,1,,1
4198696000001407569,1,,1
4198696000001407857,1,,1
4198696000001407812,1,,1
4198696000001408082,2,,2
4198696000001407992,2,,2
4198696000001407524,1,,1
4198696000001407272,2,,2
4198696000001613339,1,,1
4198696000001611737,2,,2
4198696000001611764,4,,4
4198696000001611890,2,,2
4198696000001612304,2,,2
4198696000001613168,2,,2
4198696000001613177,2,,2
4198696000001611422,4,,4
4198696000001611458,4,,4
4198696000001685120,1,,1
4198696000004150070,2,,2
4198696000003952919,1,,1
4198696000004629605,100,,100
4198696000005012528,1,,1
4198696000005387719,2,,2
4198696000005387746,3,,3
4198696000006085587,1,,1
4198696000006380276,3,,3
4198696000006515209,2,,2
4198696000008581180,1,,1
4198696000008581189,2,,2
4198696000008583019,1,,1
4198696000008583046,1,,1
4198696000008585228,1,,1
4198696000007811849,300,,300
4198696000007812047,200,,200
4198696000009895135,1,,1
4198696000010775146,4,,4
4198696000010805364,100,,100
4198696000011594674,3,,3
4198696000012103734,2,,2
4198696000011767098,1,,1
4198696000012121051,4,,4
4198696000012172248,4,,4
4198696000012182367,4,,4
4198696000012182420,2,,2
4198696000012301058,1,,1
4198696000012410794,4,,4
4198696000013569386,2,,2
4198696000014070157,2,,2
4198696000015464616,30,,30
4198696000015960090,2,,2
4198696000016778661,2,,2
4198696000018519312,2,,2
4198696000018731214,4,,4
4198696000022785504,3,,3
4198696000024519001,1,,1
4198696000026565099,2,,2
4198696000032899832,6,,6
4198696000033252757,2,,2
4198696000033554057,1,,1
4198696000000141904,5,,5
4198696000000144298,10,,10
4198696000000136801,6,,6
4198696000000137332,6,,6
4198696000000143182,20,,20
4198696000000141859,100,,100
4198696000000142939,20,,20
4198696000000142948,20,,20
4198696000000677962,4,,4
4198696000000844030,24,,24
4198696000000860716,2,,2
4198696000000864118,5,,5
4198696000000866188,2,,2
4198696000000864865,4,,4
4198696000000913969,3,,3
4198696000001046793,4,,4
4198696000001040392,10,,10
4198696000001407362,2,,2
4198696000001612457,2,,2
4198696000001611485,4,,4
4198696000001610378,2,,2
4198696000001685147,1,,1
4198696000004161535,1,,1
4198696000004417682,50,,50
4198696000004629578,100,,100
4198696000011064218,2,,2
4198696000000142579,20,,20
4198696000000141364,40,2,38
4198696000000137755,51,3,48
4198696000000138151,54,6,48
4198696000000138772,100,5,95
4198696000000140032,12,4,8
4198696000000136972,9,3,6
4198696000000136945,56,21,35
4198696000000139240,10,5,5
4198696000000139447,31,3,28
4198696000000142327,600,2,598
4198696000000669966,3,1,2
4198696000000669885,5,2,3
4198696000000669795,13,13,0
4198696000000678745,5,2,3
4198696000000678961,10,7,3
4198696000000678250,4,1,3
4198696000000677971,3,1,2
4198696000000677593,4,1,3
4198696000000679375,8,8,0
4198696000000679735,15,8,7
4198696000000836223,12,9,3
4198696000000863119,5,2,3
4198696000000861013,3,1,2
4198696000000861319,10,8,2
4198696000000865774,5,2,3
4198696000000861715,16,11,5
4198696000000862012,9,6,3
4198696000000863767,6,2,4
4198696000000863776,8,6,2
4198696000000863866,6,4,2
4198696000000865297,5,5,0
4198696000000864334,6,1,5
4198696000000864505,7,3,4
4198696000000865108,10,9,1
4198696000000898548,10,2,8
