Item Name,Quantity,Sales Value,Avg Price
AMORTIGUADOR Chev Spark 12-15 Tras R/L G P/B (348036) (95026518)(42337953) Baleno 2017 tras M300,9.00,"223,805.31","37,300.88"
AMORTIGUADOR DEL CITROEN C-ELYSEE P301 DX,1.00,"41,018.00","41,018.00"
AMORTIGUADOR DEL CITROEN C-ELYSEE P301 DX (IX,1.00,"41,018.00","41,018.00"
AMORTIGUADOR DEL DER SUZ SWIFT DZIRE 1.2 13-20/ ERTIGA 15-19 41601-M55R00,14.00,"575,582.19","41,113.01"
AMORTIGUADOR DEL IZQ SUZ SWIFT DZIRE 1.2 13-20/ ERTIGA 15-19 41602-M55R00,11.00,"456,403.54","41,491.23"
AMORTIGUADOR DEL RH/LH MIT MIRAGE G4 12- (4060A382),20.00,"637,748.66","57,977.15"
AMORTIGUADOR DELANTERO HONDA CIVIC 03-05 (LH) 2000CC G. EP3 16MM,1.00,"49,734.51","49,734.51"
AMORTIGUADOR DELANTERO HONDA CIVIC 03-05 (RH) 2000CC G. EP3 16MM,1.00,"49,734.51","49,734.51"
AMORTIGUADOR DELANTERO KIA BONGO/K2700 OJO Y PIN 4X4,2.00,"66,902.65","66,902.65"
AMORTIGUADOR DELANTERO LH MAZDA 3 - 5 2004 / 2013,2.00,"83,539.82","41,769.91"
AMORTIGUADOR DELANTERO RH MAZDA 3-5 2004 /2013,1.00,"39,380.52","39,380.52"
AMORTIGUADOR DELANTERO RH NISSAN TIIDA,1.00,"26,991.15","26,991.15"
AMORTIGUADOR DELANTERO RH XTRILT3214/ROUGUE13,1.00,"34,438.94","34,438.94"
AMORTIGUADOR DERECHO NISSAN VERSA 2021,1.00,"26,548.67","26,548.67"
AMORTIGUADOR GETZ 02-12 DEL LH G.,1.00,"29,309.73","29,309.73"
AMORTIGUADOR GETZ 02-12 DEL RH G.,1.00,"29,309.73","29,309.73"
