Item Name,Count,Amount,Invoice Overdue Count,Invoice Overdue Amount
"2960, TIPO C. 87X10 ROT. SUSP. INF. RH/LH. HYU. H-1,STAREX. 97/07 = 54530-4AA00, 47000. 4.TOR. SB-7762, CBKH16",1,"CRC 203,900.00",0.00,0.00
30205J2/Q SKF 25X52X16.25X15X13,1,"CRC 35,000.00",0.00,0.00
31922-4H001 FILTRO SERVICIO LIVIANO COMBUSTIBLE DIESEL PRIMARIO ENROSCABLE,1,"CRC 8,400.00",0.00,0.00
32TM03NXC3 UR NSK 32X80X23 ROL TRANSM TY,1,"CRC 126,500.00",0.00,0.00
"33400-85K20 33400-51K20 33400-M68K20 3PIN , ALTO 09-15 1L UF634 SX4 GRAND VITARA ERTIGA 1.6 UF-634",1,"CRC 99,900.00",0.00,0.00
34960M68K00 SENSOR DE VELOCIDAD SUZUKI SWIFT 2013,1,"CRC 27,500.00",0.00,0.00
39210-23900  234-5430  250-25012 5L ELANTRA 2L 03-09 KIA SPECTRA 03-09 2L,1,"CRC 73,815.00",0.00,0.00
43X54X11 JUEGO RET TUBON MOT VARIOS 789,1,"CRC 5,500.00",0.00,0.00
46517-39500 SC330SC224SC360SANTA FE 01-06 SONATA 06-07 KIA SEDOMA 02- 10 ZA,1,"CRC 32,000.00",0.00,0.00
47901-EB70A CAFÉ,1,"CRC 70,840.00",0.00,0.00
48068-60010 TIJ.SUS. RH INF /48068-60010 TIJ.SUS. RH INF / TOY-LAND CRUISER-PRADO 03-09 /M.366X446 TOY-LAND CRUISER-PRADO 03-09 /M.366X446,1,"CRC 266,000.00",0.00,0.00
48069-60010 TIJ.SUS. LH INF / TOY-LAND CRUISER-PRADO 03-09 /M.366X446,1,"CRC 266,000.00",0.00,0.00
"48521-50Y25 ROT. CREMA. NIS. SENTRA. 90/99, B13/B14, D/MECA, V/JAPON, R/FINA, SR-4740, 16X12X289",2,"CRC 66,000.00",0.00,0.00
"48630-60020 TIJ.SUS. LH SUP / TOY- LAND CRUISER-PRADO 03-20 /M.198X310,5",2,"CRC 646,699.99",0.00,0.00
48815-42080 Hule-Est-Del-LH-Toyota-Rav4-06-18 M- 23X47X52,1,"CRC 5,000.00",0.00,0.00
48815-42090 Hule-Est-Del-RH-Toyota-Rav4-06-18 M- 23X47X52,1,"CRC 5,000.00",0.00,0.00
4912906039900--ROTULA SUSP.INF NISSAN PLATINA 02-10/RENAULT CLIO 02-10,2,"CRC 55,000.00",0.00,0.00
5 PIN HYUNDAY KIA DIESEL 2005- 2.5 2.0 PORTER,2,"CRC 206,060.00",0.00,0.00
51350-SWN-H00 TIJ.SUS. RH INF / HONDA-CR-V 4X2-4X4 07-11,2,"CRC 143,500.00",0.00,0.00
51350-T1W-E12 TIJ.SUS. RH INF / HONDA-CR-V 4X2-4X4 12-19,2,"CRC 236,190.00",0.00,0.00
51360-SWN-H00 TIJ.SUS. LH INF / HONDA-CR-V 4X2-4X4 07-11,2,"CRC 143,500.00",0.00,0.00
51360-T1W-E12 TIJ.SUS. LH INF / HONDA-CR-V 4X2-4X4 12-19,1,"CRC 185,840.00",0.00,0.00
54420-3E000 TIJ.SUS. RH SUP / KIA- SORENTO 4X2-4X4 02-08 /M.210X333 (COMPLETA CON ROTULA),1,"CRC 30,000.00",0.00,0.00
54500-3JA0C TIJ.SUS. RH INF / NISS- PATHFINDER-R52 4X2 12-21 (COMPLETA CON ROTULA),1,"CRC 160,632.00",0.00,0.00
54500-4A000 TIJ.SUS. LH INF / HYUN-H1 4X2 97-07,2,"CRC 255,900.00",0.00,0.00
54500-4EA0B TIJ.SUS. RH INF / NISS- QASHQAI 4X2 14-22,1,"CRC 104,600.00",0.00,0.00
54500-G6000 TIJERETA SUSPENSION LH INFERIOR / KIA- PICANTO 4X2 17-23 (COMPLETA CON ROTULA),1,"CRC 57,000.00",0.00,0.00
54501-3JA0C TIJ.SUS. LH INF / NISS- PATHFINDER-R52 4X2 12-21 (COMPLETA CON ROTULA),1,"CRC 160,632.00",0.00,0.00
54501-4A000 TIJ.SUS. RH INF / HYUN-H1 4X4 97-07,2,"CRC 255,900.00",0.00,0.00
54501-4EA0B TIJ.SUS. LH INF / NISS- QASHQAI 4X2 14-22,1,"CRC 104,600.00",0.00,0.00
54501-G6000 TIJERETA SUSPENSION RH INFERIOR / KIA- PICANTO 4X2 17-23 (COMPLETA CON ROTULA),1,"CRC 57,000.00",0.00,0.00
54530-3S000 SBK-8122 ROT INF TUCSON 11- SPORT,1,"CRC 59,000.00",0.00,0.00
"60-447 HORQUILLA INF ""R"" MAZDA CX7 2007-2012",1,"CRC 322,828.00",0.00,0.00
6007-2RSC3GSP ROL 60072RSC3,1,"CRC 16,376.00",0.00,0.00
