Created Time,Vendor Name,Purchase Receive ID Count,Purchase Order ID Count
,Importaciones RERE S.A. - 30 Days Credit,2,2
,KINSEI LIMITADA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-02-19,,8,8
2024-02-20,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,REPUESTOS BIANCHI,3,3
,Renapa S.A. - 60 Days Credit,1,1
2024-02-20,,8,8
2024-02-21,CIOSA AUTOPARTES S.A,1,1
,Renapa S.A. - 60 Days Credit,5,5
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,2,2
2024-02-21,,8,8
2024-02-22,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,Ever Winning S.A - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,2,2
2024-02-22,,5,5
2024-02-23,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,DAILY - 30 Days Credit,3,3
,Renapa S.A. - 60 Days Credit,4,4
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,2,2
2024-02-23,,10,10
2024-02-24,KINSEI LIMITADA - 30 Days Credit,1,1
2024-02-24,,1,1
2024-02-26,DAILY - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,1,1
2024-02-26,,4,4
2024-02-27,DAILY - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,2,2
2024-02-27,,5,5
2024-02-28,Ever Winning S.A - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Rafael Pinto & CO S.A. (Prolusa),1,1
,Renapa S.A. - 60 Days Credit,2,2
2024-02-28,,9,9
2024-02-29,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,2,2
2024-02-29,,5,5
2024-03-01,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,DAILY - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,NAVEMAR S.A. - 30 Days Credit,2,2
,Renapa S.A. - 60 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,2,2
2024-03-01,,10,10
2024-03-02,Renapa S.A. - 60 Days Credit,2,2
2024-03-02,,2,2
2024-03-04,DAILY - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,2,2
,Renapa S.A. - 60 Days Credit,1,1
2024-03-04,,6,6
2024-03-05,AUTO SENSORES JP,1,1
,DAILY - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REMUSA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-03-05,,7,7
2024-03-06,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,Capris S.A. - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-03-06,,8,8
2024-03-07,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,AUTO SENSORES JP,1,1
,AutoRepuestos Alfaro,1,1
,DAILY - 30 Days Credit,2,2
,Gonher Autopartes de Costa Rica S.A.,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,2,2
,NAVEMAR S.A. - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,2,2
,Repuestos Barrio San Jose de Alajuela S.A. - 30 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-03-07,,15,15
2024-03-08,KINSEI LIMITADA - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
2024-03-08,,3,3
2024-03-09,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REMUSA - 30 Days Credit,2,2
2024-03-09,,3,3
2024-03-11,DAILY - 30 Days Credit,2,2
,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-03-11,,6,6
2024-03-12,DAILY - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,1,1
2024-03-12,,6,6
2024-03-13,CIOSA AUTOPARTES S.A,1,1
,DAILY - 30 Days Credit,2,2
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,2,2
,KINSEI LIMITADA - 30 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-03-13,,8,8
2024-03-14,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,DAILY - 30 Days Credit,1,1
,Ever Winning S.A - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,ROLEXSA,1,1
,Renapa S.A. - 60 Days Credit,3,3
,Repuestos Barrio San Jose de Alajuela S.A. - 30 Days Credit,3,3
2024-03-14,,13,13
2024-03-15,DAILY - 30 Days Credit,2,2
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,3,3
,REMUSA - 30 Days Credit,2,2
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,3,3
2024-03-15,,13,13
2024-03-16,REPUESTOS BIANCHI,1,1
2024-03-16,,1,1
2024-03-18,Capris S.A. - 30 Days Credit,1,1
,DAILY - 30 Days Credit,2,2
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,NAVEMAR S.A. - 30 Days Credit,1,1
,REPUESTOS BIANCHI,2,2
,Renapa S.A. - 60 Days Credit,3,3
2024-03-18,,12,12
2024-03-19,DAILY - 30 Days Credit,2,2
,KINSEI LIMITADA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,3,3
2024-03-19,,8,8
