s.Product_ID,s.Month_Year,s.Total_Quantity,s.Net_Sales,itf.Available_Stock,itf.Cost_Fallback,lp.Last_Purchase_Price,Stock_On_Hand
4198696000000678376,2024-05,1,1415.93,0,"CRC 1,020.18",1020.18,0
4198696000004417943,2024-10,1,22389.38,314,"CRC 14,000.00",9185,314
4198696000004421754,2025-01,2,31150.44,92,"CRC 8,619.00",6077.5,92
4198696000000140437,2025-02,1,10442.48,6,"CRC 5,209.60",4070,6
4198696000018430001,2025-02,1,12700.88,0,"CRC 10,176.99",10176.99,0
4198696000000143380,2024-05,1,3539.82,5,"CRC 1,372.80",1072.5,5
4198696000000864964,2024-06,2,16141.59,4,"CRC 6,285.52",6285.52,4
4198696000009852920,2024-09,1,25044.25,2,"CRC 18,286.24",18286.24,2
4198696000007811705,2025-02,2,8141.59,103,"CRC 2,300.00",1133,103
4198696000000142075,2025-03,1,2035.4,92,"CRC 1,200.00",753.5,92
4198696000000862903,2025-03,1,8955.75,8,"CRC 7,182.00",7182,8
4198696000020666420,2025-05,2,32389.38,5,"CRC 11,990.00",11990,5
4198696000004417943,2025-06,1,20353.98,314,"CRC 14,000.00",9185,314
4198696000006545534,2025-06,1,35575.22,13,"CRC 24,692.80",30336.5,13
4198696000030215360,2025-09,2,39823.01,0,"CRC 14,700.00",14700,0
4198696000013924399,2025-05,1,23008.85,4,"CRC 16,202.50",17337.4,4
4198696000000602491,2023-12,7,43362.83,42,"CRC 5,095.63",5095.63,42
4198696000000862291,2024-02,1,12654.87,6,"CRC 11,696.70",11384.539999999999,6
4198696000000670326,2024-03,1,15265.49,1,"CRC 4,321.76",4321.76,1
4198696000001614662,2024-03,2,35575.22,0,"CRC 15,962.03",15962.03,0
4198696000001089091,2024-02,8,4247.79,6,CRC 346.12,346.11999999999995,6
4198696000003142001,2024-04,1,43185.84,9,"CRC 31,950.00",31950,9
4198696000000513120,2024-04,2,353.98,180,CRC 40.00,33,180
4198696000006842046,2024-10,1,32743.36,0,"CRC 24,200.00",24200,0
4198696000000143497,2024-12,1,11398.23,39,"CRC 6,000.00",4097.5,39
4198696000000844228,2024-12,18,19051.33,27,CRC 885.00,920,27
4198696000011326115,2025-01,1,65132.74,2,"CRC 48,225.79",48225.79,2
4198696000003678266,2025-02,1,33543.36,0,"CRC 26,973.00",26973,0
4198696000018059437,2025-02,1,168449.56,0,"CRC 135,603.00",135603,0
4198696000001969321,2025-02,1,4966.37,0,"CRC 3,989.96",4500,0
4198696000001046253,2024-05,1,17079.65,1,"CRC 12,641.05",12641.05,1
