SKU,Product_ID,Invoice_Date,Line_Quantity,Line_Total_BCY
,4198696000004770118,16 Apr 2024,2.00,1769.91
,4198696000004770120,16 Apr 2024,1.00,38230.09
,4198696000004770122,16 Apr 2024,1.00,38230.09
,4198696000004770487,16 Apr 2024,1.00,10530.97
,4198696000004770710,16 Apr 2024,1.00,973.45
,4198696000004770794,16 Apr 2024,1.00,15575.22
,4198696000004770906,16 Apr 2024,4.00,4601.77
,4198696000004770908,16 Apr 2024,4.00,5309.73
,4198696000004778026,16 Apr 2024,1.00,43008.85
,4198696000004823451,17 Apr 2024,1.00,6460.18
,4198696000004823453,17 Apr 2024,1.00,6460.18
,4198696000004823505,17 Apr 2024,1.00,9734.51
,4198696000004832640,18 Apr 2024,1.00,10442.48
,4198696000004832642,18 Apr 2024,1.00,2831.86
,4198696000004833246,17 Apr 2024,1.00,22212.39
,4198696000004833851,17 Apr 2024,5.00,8407.08
,4198696000004852011,17 Apr 2024,1.00,11946.9
,4198696000004852013,17 Apr 2024,2.00,31327.43
,4198696000004855127,18 Apr 2024,1.00,15132.74
,4198696000004855129,18 Apr 2024,1.00,15752.21
,4198696000004855131,18 Apr 2024,1.00,10796.46
,4198696000004855192,18 Apr 2024,1.00,7256.64
,4198696000004855285,18 Apr 2024,1.00,13628.32
,4198696000004855534,18 Apr 2024,1.00,22389.38
,4198696000004863090,18 Apr 2024,1.00,11150.44
,4198696000004890004,19 Apr 2024,1.00,15929.2
,4198696000004890435,19 Apr 2024,1.00,22389.38
,4198696000004890437,19 Apr 2024,1.00,8053.1
,4198696000004890574,19 Apr 2024,1.00,16194.69
,4198696000004890576,19 Apr 2024,1.50,464.6
,4198696000004890622,19 Apr 2024,2.00,12389.38
,4198696000004890941,19 Apr 2024,1.00,23008.85
,4198696000004890943,19 Apr 2024,1.00,23008.85
,4198696000004890945,19 Apr 2024,2.00,45486.73
,4198696000004890947,19 Apr 2024,2.00,3185.84
,4198696000004890949,19 Apr 2024,2.00,7256.64
,4198696000004890951,19 Apr 2024,2.00,13628.32
,4198696000004890953,19 Apr 2024,4.00,14159.29
,4198696000004890955,19 Apr 2024,2.00,13451.33
,4198696000004890957,19 Apr 2024,2.00,18584.07
,4198696000004911173,19 Apr 2024,1.00,2212.39
,4198696000004911612,20 Apr 2024,1.00,1858.41
,4198696000004911679,20 Apr 2024,1.00,2300.88
,4198696000004911681,20 Apr 2024,2.00,8495.58
,4198696000004916581,22 Apr 2024,0.10,2097.35
,4198696000004916583,22 Apr 2024,4.00,353.98
,4198696000004916901,22 Apr 2024,1.00,37699.12
,4198696000004926085,22 Apr 2024,1.00,6725.66
,4198696000004935107,23 Apr 2024,1.00,21238.94
,4198696000004935109,23 Apr 2024,1.00,17256.64
,4198696000004935768,23 Apr 2024,2.00,29911.5
,4198696000004954226,23 Apr 2024,1.00,34601.77
,4198696000004954228,23 Apr 2024,1.00,11327.43
,4198696000004954230,23 Apr 2024,1.00,7079.65
,4198696000004971146,24 Apr 2024,1.00,201150.44
,4198696000005004935,24 Apr 2024,1.00,2212.39
,4198696000005004937,24 Apr 2024,2.00,6902.65
,4198696000005004939,24 Apr 2024,2.00,619.47
,4198696000005013049,25 Apr 2024,1.00,15221.24
,4198696000005013051,25 Apr 2024,1.00,20707.96
,4198696000005013053,25 Apr 2024,2.00,16283.19
,4198696000005013055,25 Apr 2024,1.00,19911.5
,4198696000005013057,25 Apr 2024,1.00,19911.5
,4198696000005013322,25 Apr 2024,1.00,15575.22
,4198696000005013700,26 Apr 2024,1.00,9646.02
,4198696000005013745,26 Apr 2024,1.00,99911.5
,4198696000005013747,26 Apr 2024,1.00,32300.88
